week_start_date,district,average_temperature,average_rainfall
2025-08-18,Matale,25.89,1.09
2025-08-25,Matale,25.41,4.17
2025-09-01,Matale,25.6,3.13
2025-09-08,Matale,26.23,7.7
2025-09-15,Matale,25.18,5.29
2025-09-22,Matale,24.92,7.09
2025-09-29,Matale,26.04,5.81
2025-10-06,Matale,26.27,3.26
2025-10-13,Matale,25.64,24.43
2025-10-20,Matale,23.92,21.11
2025-10-27,Matale,26.01,2.47
2025-11-03,Matale,25.39,4.5
2025-11-10,Matale,24.99,6.96
2025-11-17,Matale,24.94,24.6
2025-11-24,Matale,22.53,83.56
2025-12-01,Matale,25.04,1.27
2025-12-08,Matale,24.6,4.8
2025-12-15,Matale,24.51,3.14
2025-12-22,Matale,24.13,0.51
2025-12-29,Matale,24.7,4.4
2026-01-05,Matale,23.46,8.66
2026-01-12,Matale,23.54,3.13
2026-01-19,Matale,23.39,0.43
2026-01-26,Matale,24.12,3.13
2026-02-02,Matale,24.55,2.07
2026-02-09,Matale,23.76,1.14
2026-02-16,Matale,23.74,9.7
2026-02-23,Matale,25.11,0.2
2026-03-02,Matale,25.73,0.14
2026-03-09,Matale,26.12,1.54
2026-03-16,Matale,27.25,1.99
2026-03-23,Matale,27.47,0.19
2026-03-30,Matale,27.2,5.23
2026-04-06,Matale,27.96,1.49
2026-04-13,Matale,27.36,3.14
2026-04-20,Matale,27.52,6.99
2026-04-27,Matale,27.36,6.2
2026-05-04,Matale,26.81,11.49
2026-05-11,Matale,25.69,11.34
2026-05-18,Matale,26.46,4.16
2026-05-25,Matale,26.61,3.44
2026-06-01,Matale,26.16,6.79
2026-06-08,Matale,25.27,9.81
2026-06-15,Matale,26.08,3.89
2026-06-22,Matale,25.76,6.31
2026-06-29,Matale,25.28,5.76
2026-07-06,Matale,26.3,2.19
2026-07-13,Matale,26.07,1.97
2026-07-20,Matale,26.76,1.36
2026-07-27,Matale,26.3,4.42
2013-12-30,Matara,26.32,1.84
2014-01-06,Matara,26.76,1.97
2014-01-13,Matara,26.64,2.93
2014-01-20,Matara,27.25,0.2
2014-01-27,Matara,27.11,4.76
2014-02-03,Matara,27.0,0.17
2014-02-10,Matara,27.35,0.23
2014-02-17,Matara,28.35,3.43
2014-02-24,Matara,28.24,0.77
2014-03-03,Matara,28.46,4.06
2014-03-10,Matara,28.62,0.1
2014-03-17,Matara,28.3,2.87
2014-03-24,Matara,28.92,0.84
2014-03-31,Matara,27.9,5.36
2014-04-07,Matara,28.29,2.53
2014-04-14,Matara,27.96,2.49
2014-04-21,Matara,27.83,6.47
2014-04-28,Matara,27.29,11.73
2014-05-05,Matara,27.16,16.74
2014-05-12,Matara,28.29,0.7
2014-05-19,Matara,27.72,4.66
2014-05-26,Matara,27.26,6.5
2014-06-02,Matara,27.45,5.9
2014-06-09,Matara,27.84,2.43
2014-06-16,Matara,27.64,3.23
2014-06-23,Matara,27.38,2.84
2014-06-30,Matara,27.17,5.06
2014-07-07,Matara,27.09,5.61
2014-07-14,Matara,27.04,2.49
2014-07-21,Matara,27.12,2.74
2014-07-28,Matara,26.88,3.39
2014-08-04,Matara,26.84,3.51
2014-08-11,Matara,26.19,7.84
2014-08-18,Matara,26.21,7.79
2014-08-25,Matara,27.25,1.06
2014-09-01,Matara,26.25,7.56
2014-09-08,Matara,26.26,6.49
2014-09-15,Matara,26.74,5.41
2014-09-22,Matara,26.55,7.57
2014-09-29,Matara,26.74,9.76
2014-10-06,Matara,26.62,8.96
2014-10-13,Matara,26.31,19.31
2014-10-20,Matara,26.83,5.86
2014-10-27,Matara,26.4,11.96
2014-11-03,Matara,26.71,4.81
2014-11-10,Matara,26.71,16.51
2014-11-17,Matara,26.4,12.1
2014-11-24,Matara,26.11,6.3
2014-12-01,Matara,26.33,4.51
2014-12-08,Matara,26.54,7.03
2014-12-15,Matara,26.41,12.86
2014-12-22,Matara,25.05,34.64
2014-12-29,Matara,26.58,0.67
2015-01-05,Matara,25.94,6.34
2015-01-12,Matara,26.11,0.94
2015-01-19,Matara,26.56,1.61
2015-01-26,Matara,26.94,2.97
2015-02-02,Matara,27.04,1.57
2015-02-09,Matara,27.01,5.37
2015-02-16,Matara,26.61,0.33
2015-02-23,Matara,27.02,3.13
2015-03-02,Matara,27.59,0.51
2015-03-09,Matara,27.21,5.66
2015-03-16,Matara,27.44,0.76
2015-03-23,Matara,28.34,3.81
2015-03-30,Matara,27.9,5.26
2015-04-06,Matara,27.64,6.64
2015-04-13,Matara,27.79,5.91
2015-04-20,Matara,27.59,10.41
2015-04-27,Matara,27.74,5.77
2015-05-04,Matara,27.52,9.59
2015-05-11,Matara,27.59,3.2
2015-05-18,Matara,27.49,8.67
2015-05-25,Matara,27.91,5.17
2015-06-01,Matara,27.54,5.69
2015-06-08,Matara,27.64,2.13
2015-06-15,Matara,27.4,4.19
2015-06-22,Matara,27.54,4.6
2015-06-29,Matara,27.28,5.86
2015-07-06,Matara,27.5,3.06
2015-07-13,Matara,26.97,6.17
2015-07-20,Matara,26.76,5.77
2015-07-27,Matara,27.21,1.5
2015-08-03,Matara,26.64,6.41
2015-08-10,Matara,27.44,3.27
2015-08-17,Matara,27.15,6.17
2015-08-24,Matara,26.35,9.89
2015-08-31,Matara,26.74,6.67
2015-09-07,Matara,27.13,2.87
2015-09-14,Matara,26.72,10.16
2015-09-21,Matara,26.58,12.46
2015-09-28,Matara,26.51,13.8
2015-10-05,Matara,27.01,3.49
2015-10-12,Matara,27.06,9.71
2015-10-19,Matara,26.56,24.29
2015-10-26,Matara,26.44,12.9
2015-11-02,Matara,26.56,23.73
2015-11-09,Matara,26.23,17.4
2015-11-16,Matara,26.97,1.99
2015-11-23,Matara,27.23,3.96
2015-11-30,Matara,26.77,9.87
2015-12-07,Matara,26.75,16.86
2015-12-14,Matara,26.72,4.86
2015-12-21,Matara,27.16,3.53
2015-12-28,Matara,27.4,0.83
2016-01-04,Matara,27.55,0.83
2016-01-11,Matara,27.26,0.66
2016-01-18,Matara,28.16,1.14
2016-01-25,Matara,27.69,2.04
2016-02-01,Matara,27.92,0.14
2016-02-08,Matara,28.26,2.16
2016-02-15,Matara,27.93,2.99
2016-02-22,Matara,28.11,1.6
2016-02-29,Matara,29.12,0.49
2016-03-07,Matara,29.35,0.61
2016-03-14,Matara,29.18,1.0
2016-03-21,Matara,29.69,0.67
